job_title,skills,location,years_experience,education_level,expected_salary
QA Engineer,"AWS, SQL, Linux, Azure, Excel",Galle,6.4,Master's Degree,126000
Backend Developer,"Kubernetes, Linux",Galle,7.9,Bachelor's Degree,126000
Product Manager,"Azure, AWS, Pandas, Linux, React",Jaffna,4.1,Master's Degree,176000
Backend Developer,"TensorFlow, Machine Learning, Kubernetes",Remote,6.0,Bachelor's Degree,136000
Software Engineer,"AWS, React, TensorFlow, Linux, Pandas",Kandy,3.1,Master's Degree,145000
QA Engineer,"Azure, TensorFlow",Remote,5.0,Master's Degree,115000
Fullstack Developer,"Excel, TensorFlow",Kandy,3.6,High School,105000
Data Scientist,"Python, AWS",Galle,4.3,Bachelor's Degree,131000
Fullstack Developer,"JavaScript, Kubernetes, Azure, Linux, AWS, Python",Kandy,5.8,Bachelor's Degree,162000
Product Manager,"TensorFlow, AWS, Azure",Jaffna,1.5,Bachelor's Degree,125000
DevOps Engineer,"Git, Azure, Docker, Excel",Galle,10.3,Master's Degree,190000
Frontend Developer,"AWS, JavaScript, Excel, React, Azure",Galle,1.0,Bachelor's Degree,103000
Frontend Developer,"Pandas, JavaScript, Git",Jaffna,0.4,Bachelor's Degree,86000
Backend Developer,"Git, Tableau, Pandas, React, Excel",Colombo,7.5,Bachelor's Degree,174000
Product Manager,"Git, Kubernetes, Docker, SQL",Galle,6.4,High School,144000
Data Scientist,"Git, AWS, TensorFlow",Galle,5.9,Master's Degree,169000
Business Analyst,"Excel, Azure",Galle,5.9,Master's Degree,121000
Frontend Developer,"Machine Learning, Linux",Remote,4.0,Bachelor's Degree,114000
Software Engineer,"Git, Azure, JavaScript, TensorFlow, Tableau, Python",Colombo,1.3,Bachelor's Degree,141000
QA Engineer,TensorFlow,Kandy,4.2,High School,78000
Product Manager,"Kubernetes, TensorFlow",Jaffna,2.0,Bachelor's Degree,122000
Business Analyst,"Docker, React, TensorFlow",Colombo,6.9,Master's Degree,161000
Data Scientist,"Linux, JavaScript, Azure, Pandas, Python, SQL",Jaffna,3.6,Master's Degree,166000
DevOps Engineer,Excel,Jaffna,1.5,Master's Degree,116000
DevOps Engineer,"Excel, React, Python, Tableau, Git, Linux",Remote,3.0,Diploma,137000
Backend Developer,"AWS, TensorFlow, Azure",Remote,5.2,Bachelor's Degree,132000
DevOps Engineer,"AWS, React, JavaScript, Machine Learning, Docker",Kandy,2.3,Master's Degree,154000
Frontend Developer,"SQL, Python, Pandas, Docker, React, Linux",Kandy,1.5,Bachelor's Degree,116000
Fullstack Developer,"Azure, Docker, Machine Learning, Kubernetes",Colombo,4.7,Bachelor's Degree,164000
DevOps Engineer,"Docker, JavaScript, Python, React",Jaffna,4.7,Bachelor's Degree,127000
Frontend Developer,"React, Linux, Pandas",Remote,2.5,High School,95000
Backend Developer,"JavaScript, Python, TensorFlow, Machine Learning, AWS, React",Kandy,2.6,Bachelor's Degree,129000
Product Manager,"Tableau, React, Pandas, Machine Learning, TensorFlow, Excel",Galle,4.7,Bachelor's Degree,173000
Business Analyst,"AWS, SQL",Jaffna,0.0,Master's Degree,88000
Backend Developer,"Pandas, Azure, AWS, Excel",Kandy,0.0,Master's Degree,120000
Data Scientist,"AWS, Azure, Pandas, Docker, Machine Learning",Remote,1.8,Diploma,135000
Product Manager,"JavaScript, Linux, Azure, SQL, Pandas",Galle,3.4,Master's Degree,181000
QA Engineer,TensorFlow,Kandy,4.9,Master's Degree,109000
QA Engineer,Git,Remote,8.4,Bachelor's Degree,114000
Software Engineer,"SQL, Azure, Kubernetes, AWS",Remote,6.6,Diploma,132000
QA Engineer,"Tableau, React, Pandas, Python, Kubernetes, Excel",Colombo,3.5,Master's Degree,143000
Data Scientist,Kubernetes,Galle,3.9,Master's Degree,148000
Product Manager,Git,Colombo,1.0,PhD,195000
QA Engineer,React,Jaffna,3.9,Bachelor's Degree,81000
DevOps Engineer,"Pandas, TensorFlow, Kubernetes, Docker, Tableau, AWS",Jaffna,3.1,Bachelor's Degree,130000
Product Manager,"TensorFlow, Excel",Galle,5.0,Diploma,132000
Product Manager,"Azure, SQL, Pandas, JavaScript",Colombo,1.5,Master's Degree,194000
Frontend Developer,"TensorFlow, Pandas, Azure, Kubernetes",Remote,5.6,Bachelor's Degree,134000
Business Analyst,"AWS, Docker",Kandy,8.6,Bachelor's Degree,122000
Data Scientist,Tableau,Jaffna,3.7,Bachelor's Degree,121000
Software Engineer,"JavaScript, Machine Learning",Colombo,5.2,Bachelor's Degree,139000
QA Engineer,"TensorFlow, Pandas, Python, JavaScript, Tableau",Jaffna,6.1,Bachelor's Degree,102000
Product Manager,"Tableau, Excel",Colombo,2.8,Diploma,147000
Frontend Developer,"Excel, Pandas",Remote,4.7,Bachelor's Degree,117000
Backend Developer,"React, SQL",Remote,4.0,Bachelor's Degree,120000
Frontend Developer,"Python, Azure, Linux",Kandy,4.3,Bachelor's Degree,115000
Fullstack Developer,"AWS, Python, Docker, TensorFlow, Pandas",Jaffna,1.7,Master's Degree,134000
Backend Developer,"Kubernetes, Git, SQL, React, Excel, Tableau",Remote,4.1,Bachelor's Degree,145000
Business Analyst,"Excel, Pandas, SQL",Jaffna,5.5,Master's Degree,118000
Product Manager,"Kubernetes, Azure, Excel, SQL",Jaffna,8.4,Bachelor's Degree,173000
Business Analyst,"TensorFlow, Machine Learning, AWS",Galle,6.9,Diploma,103000
Business Analyst,React,Jaffna,10.5,Master's Degree,134000
Software Engineer,JavaScript,Remote,1.7,Master's Degree,125000
Product Manager,"AWS, JavaScript",Galle,6.6,Bachelor's Degree,156000
Software Engineer,"Git, JavaScript",Colombo,4.6,Master's Degree,156000
QA Engineer,"Pandas, Linux",Kandy,10.6,Bachelor's Degree,116000
Business Analyst,"Docker, Tableau, React, Kubernetes, AWS",Remote,1.6,Bachelor's Degree,112000
Frontend Developer,"Docker, Azure, AWS",Jaffna,1.5,Diploma,82000
QA Engineer,"Git, JavaScript, Docker",Galle,2.2,Bachelor's Degree,84000
Business Analyst,"SQL, Python, React, Azure, Linux, TensorFlow",Jaffna,0.0,Bachelor's Degree,92000
Business Analyst,"JavaScript, Kubernetes, Linux",Kandy,2.4,Bachelor's Degree,101000
Backend Developer,"Tableau, Excel, AWS",Jaffna,1.7,Bachelor's Degree,97000
Backend Developer,"SQL, Pandas",Remote,4.5,Bachelor's Degree,123000
Product Manager,"Python, Azure, Git, Machine Learning, TensorFlow, Tableau",Colombo,5.0,Bachelor's Degree,214000
Business Analyst,Pandas,Kandy,9.6,High School,108000
Product Manager,"Docker, Python, Linux, TensorFlow",Remote,6.9,Master's Degree,221000
QA Engineer,Python,Remote,2.3,Bachelor's Degree,89000
Software Engineer,Azure,Galle,1.3,Bachelor's Degree,96000
Frontend Developer,Azure,Jaffna,5.5,Master's Degree,118000
DevOps Engineer,Git,Colombo,0.0,Bachelor's Degree,121000
Business Analyst,"Linux, Azure",Galle,9.5,Master's Degree,137000
Frontend Developer,"Machine Learning, Docker, Kubernetes, AWS",Remote,7.5,Bachelor's Degree,144000
Business Analyst,"TensorFlow, Excel, Machine Learning",Colombo,2.6,Diploma,106000
Fullstack Developer,"Azure, AWS, Python, TensorFlow",Colombo,0.0,Master's Degree,153000
Data Scientist,"Excel, Kubernetes, TensorFlow, Docker",Remote,8.1,PhD,241000
Data Scientist,"Git, Python, JavaScript, Tableau, Linux",Jaffna,3.7,Bachelor's Degree,139000
Data Scientist,"Git, React, Azure, Linux, TensorFlow, Python",Kandy,7.7,Master's Degree,218000
Backend Developer,JavaScript,Remote,0.0,Diploma,90000
Fullstack Developer,React,Kandy,2.2,Bachelor's Degree,116000
Fullstack Developer,"Git, Azure, Docker, Kubernetes, SQL, Machine Learning",Remote,4.0,Master's Degree,182000
Backend Developer,Machine Learning,Jaffna,4.1,Bachelor's Degree,102000
Data Scientist,"Linux, Tableau, Git",Remote,2.6,Bachelor's Degree,142000
Backend Developer,TensorFlow,Galle,5.9,Master's Degree,134000
QA Engineer,"JavaScript, Docker, Azure, Kubernetes",Jaffna,0.8,Bachelor's Degree,78000
Fullstack Developer,Tableau,Remote,3.6,Bachelor's Degree,130000
Business Analyst,"Machine Learning, Git, React, SQL, Kubernetes, Pandas",Jaffna,4.4,Bachelor's Degree,112000
Data Scientist,Python,Galle,5.5,Bachelor's Degree,138000
Frontend Developer,SQL,Colombo,6.1,Bachelor's Degree,136000
QA Engineer,"Azure, Git, Kubernetes, Machine Learning, Python",Colombo,0.6,Bachelor's Degree,104000
Data Scientist,"Linux, Tableau, Docker, Kubernetes, Python",Galle,0.0,Bachelor's Degree,124000
Data Scientist,"Git, Azure, JavaScript, Linux, Excel, SQL",Jaffna,7.8,Bachelor's Degree,170000
Frontend Developer,"React, AWS, SQL",Colombo,5.0,Bachelor's Degree,137000
Frontend Developer,"React, AWS, Tableau, Machine Learning",Galle,1.8,Bachelor's Degree,103000
Business Analyst,"TensorFlow, AWS, Linux, Tableau, JavaScript, Excel",Colombo,8.7,Diploma,153000
Software Engineer,"Docker, Excel, Linux, Kubernetes",Galle,4.3,Bachelor's Degree,120000
Fullstack Developer,"Linux, SQL, React, Docker, Git, JavaScript",Jaffna,7.5,Bachelor's Degree,154000
Fullstack Developer,"React, Pandas, Excel",Jaffna,4.2,PhD,154000
Business Analyst,"Kubernetes, React, Tableau",Jaffna,10.2,Bachelor's Degree,121000
Business Analyst,"Azure, SQL, TensorFlow, Git, Python",Jaffna,9.3,Master's Degree,148000
Business Analyst,"Tableau, React, Pandas, Machine Learning",Jaffna,3.3,Master's Degree,113000
DevOps Engineer,"React, JavaScript, Git, TensorFlow, SQL, Kubernetes",Jaffna,6.9,Diploma,136000
QA Engineer,"Kubernetes, Azure, Excel, Pandas, Git",Remote,5.9,High School,101000
Backend Developer,"Git, Tableau, Azure, Linux, TensorFlow, Machine Learning",Colombo,8.1,Master's Degree,213000
Backend Developer,"TensorFlow, Linux",Colombo,1.1,Bachelor's Degree,116000
Fullstack Developer,"Tableau, Kubernetes, Machine Learning",Colombo,6.1,Diploma,149000
Business Analyst,"Pandas, Azure, Excel, Linux, Git",Kandy,7.2,Bachelor's Degree,134000
Fullstack Developer,"Tableau, TensorFlow, Linux, Pandas",Remote,0.0,Bachelor's Degree,121000
Software Engineer,"Machine Learning, React, Kubernetes, Git",Colombo,0.5,Master's Degree,143000
DevOps Engineer,"React, Docker, AWS",Kandy,0.0,Bachelor's Degree,110000
Backend Developer,"Machine Learning, AWS, Pandas, Tableau",Jaffna,3.2,Bachelor's Degree,108000
Frontend Developer,Tableau,Colombo,6.2,High School,116000
Backend Developer,"Machine Learning, TensorFlow, Tableau, SQL, JavaScript, Azure",Kandy,8.5,Bachelor's Degree,162000
Backend Developer,"Kubernetes, AWS, JavaScript, Git, TensorFlow",Kandy,4.2,Bachelor's Degree,132000
Fullstack Developer,"Python, Pandas, Linux, JavaScript",Jaffna,8.9,Bachelor's Degree,149000
Fullstack Developer,Pandas,Kandy,0.0,Bachelor's Degree,104000
Data Scientist,"Machine Learning, Tableau, Azure, SQL, Docker",Galle,0.0,Bachelor's Degree,124000
Data Scientist,"TensorFlow, Excel, AWS",Remote,3.8,PhD,195000
Backend Developer,"Kubernetes, Linux, Git, Excel, Machine Learning",Galle,5.2,Bachelor's Degree,130000
QA Engineer,"SQL, Excel, TensorFlow, Pandas, React",Remote,3.9,Bachelor's Degree,110000
DevOps Engineer,"Machine Learning, JavaScript, React",Colombo,0.0,Bachelor's Degree,127000
DevOps Engineer,"Kubernetes, Git, Linux, SQL, Tableau",Jaffna,3.7,Bachelor's Degree,127000
QA Engineer,"Azure, Pandas, TensorFlow, SQL, Git, Excel",Jaffna,0.1,Bachelor's Degree,82000
DevOps Engineer,"Excel, AWS, Linux",Colombo,6.0,Master's Degree,190000
Software Engineer,"SQL, JavaScript, Kubernetes, Azure",Remote,5.1,Master's Degree,159000
Fullstack Developer,"AWS, Kubernetes, Pandas, Git, Tableau, SQL",Colombo,1.2,Bachelor's Degree,154000
Business Analyst,"Python, React, JavaScript",Remote,2.5,Bachelor's Degree,106000
QA Engineer,"Pandas, Tableau, Excel, AWS, Azure",Remote,0.8,Diploma,86000
Data Scientist,"Tableau, Azure, Docker",Remote,3.8,Master's Degree,172000
Software Engineer,"AWS, Azure, JavaScript, Kubernetes, Machine Learning, Tableau",Galle,6.9,Master's Degree,167000
Software Engineer,"React, Docker, Machine Learning, AWS",Colombo,1.0,Master's Degree,146000
Business Analyst,"Tableau, Pandas",Remote,5.5,Master's Degree,132000
Fullstack Developer,"Linux, SQL",Kandy,2.4,Master's Degree,135000
Software Engineer,"Docker, Azure, React, Linux, Excel",Kandy,1.6,Bachelor's Degree,118000
Frontend Developer,"Linux, React, Azure",Colombo,3.7,Diploma,117000
Fullstack Developer,React,Kandy,0.9,Master's Degree,126000
DevOps Engineer,"SQL, Pandas",Galle,2.3,Master's Degree,127000
Fullstack Developer,"SQL, Linux, TensorFlow, React",Jaffna,0.4,Bachelor's Degree,105000
Data Scientist,"Tableau, Git, Machine Learning, Kubernetes, Azure, React",Galle,9.9,Bachelor's Degree,194000
QA Engineer,"Linux, Python, Tableau",Colombo,4.1,Master's Degree,128000
QA Engineer,"TensorFlow, Pandas, Docker, Machine Learning, Azure, Kubernetes",Kandy,1.9,PhD,130000
Business Analyst,"React, Docker, Git, Excel",Remote,4.6,Bachelor's Degree,122000
QA Engineer,"Git, TensorFlow, Tableau",Colombo,3.7,High School,93000
QA Engineer,Machine Learning,Kandy,3.3,Bachelor's Degree,89000
Software Engineer,"JavaScript, Pandas, SQL, TensorFlow",Galle,5.8,Bachelor's Degree,128000
Frontend Developer,TensorFlow,Galle,6.3,Bachelor's Degree,112000
Backend Developer,"Git, TensorFlow, SQL, Python, Kubernetes, React",Kandy,2.4,Bachelor's Degree,128000
Data Scientist,"Machine Learning, Python, JavaScript, AWS, Git, SQL",Remote,2.3,Bachelor's Degree,161000
QA Engineer,Python,Galle,3.2,Master's Degree,96000
Fullstack Developer,"SQL, AWS, Machine Learning, JavaScript, Kubernetes, Tableau",Colombo,0.0,Diploma,131000
Backend Developer,"SQL, Kubernetes, Tableau",Kandy,0.0,Bachelor's Degree,100000
DevOps Engineer,Azure,Remote,8.1,High School,131000
DevOps Engineer,"Docker, Pandas, JavaScript, TensorFlow",Kandy,8.9,Master's Degree,191000
QA Engineer,"Machine Learning, Git",Kandy,3.3,Master's Degree,102000
Fullstack Developer,"Kubernetes, Docker, Tableau",Kandy,5.7,Bachelor's Degree,141000
Data Scientist,"Azure, Linux",Remote,4.9,Master's Degree,172000
Frontend Developer,"Python, Excel, TensorFlow, React, JavaScript, Azure",Remote,13.2,Bachelor's Degree,189000
Fullstack Developer,"TensorFlow, Python, Tableau",Kandy,7.4,Bachelor's Degree,150000
Data Scientist,"AWS, TensorFlow",Remote,3.6,Diploma,127000
Software Engineer,"Git, Docker, SQL",Jaffna,1.1,Master's Degree,108000
Fullstack Developer,"Azure, TensorFlow, SQL",Jaffna,0.0,PhD,128000
Data Scientist,Linux,Colombo,4.6,High School,138000
Business Analyst,Git,Colombo,1.7,Master's Degree,124000
Fullstack Developer,"React, TensorFlow, Pandas, Azure, Kubernetes",Jaffna,0.0,Master's Degree,124000
Data Scientist,"Azure, Git, Linux, SQL, React, Machine Learning",Galle,2.1,Diploma,129000
Business Analyst,"Azure, Docker",Jaffna,0.8,Bachelor's Degree,80000
Data Scientist,"Pandas, Kubernetes, Git",Kandy,9.1,Diploma,157000
Data Scientist,"Machine Learning, AWS, Linux, Tableau",Colombo,6.6,Bachelor's Degree,193000
DevOps Engineer,Python,Kandy,4.0,Master's Degree,144000
DevOps Engineer,"Docker, Azure, Excel, Pandas",Galle,8.4,Bachelor's Degree,155000
DevOps Engineer,"Tableau, Excel, React, Pandas, Machine Learning, Python",Galle,4.2,Master's Degree,165000
Frontend Developer,"Machine Learning, React, Pandas, Linux, TensorFlow",Colombo,1.4,Bachelor's Degree,129000
Product Manager,"Python, AWS, Linux",Kandy,8.6,Bachelor's Degree,185000
Frontend Developer,Git,Remote,5.6,Master's Degree,140000
Data Scientist,"Pandas, Azure",Colombo,0.9,High School,117000
Software Engineer,"Python, AWS",Galle,3.4,Bachelor's Degree,105000
DevOps Engineer,"Git, Excel",Colombo,1.4,Bachelor's Degree,129000
Fullstack Developer,"Docker, JavaScript",Jaffna,0.0,Master's Degree,108000
Backend Developer,"Excel, Machine Learning, Linux",Galle,6.8,Diploma,114000
Software Engineer,"JavaScript, Tableau",Remote,9.7,PhD,193000
Fullstack Developer,Git,Jaffna,0.0,Master's Degree,108000
Frontend Developer,"Machine Learning, Azure, AWS",Colombo,5.7,Bachelor's Degree,141000
Frontend Developer,"Tableau, React, Pandas, Linux, JavaScript",Jaffna,2.0,Bachelor's Degree,102000
QA Engineer,"Pandas, Azure",Kandy,2.5,Bachelor's Degree,86000
Fullstack Developer,JavaScript,Remote,2.2,Bachelor's Degree,122000
Software Engineer,"Python, Tableau, TensorFlow",Jaffna,1.4,Master's Degree,110000
Frontend Developer,JavaScript,Remote,4.1,PhD,149000
Fullstack Developer,"Python, SQL, Pandas, React",Colombo,1.5,High School,122000
Business Analyst,"Kubernetes, Pandas, Docker, AWS, Machine Learning",Remote,4.8,Diploma,116000
DevOps Engineer,"Excel, Kubernetes, Machine Learning, Linux, Pandas, Python",Jaffna,3.8,Master's Degree,154000
DevOps Engineer,"React, Git",Galle,3.3,Master's Degree,133000
Fullstack Developer,"Excel, Pandas, Docker, Tableau, AWS, React",Kandy,1.3,Diploma,120000
Business Analyst,"Tableau, Git",Remote,2.3,Diploma,90000
Data Scientist,"AWS, Git",Galle,6.3,Bachelor's Degree,142000
Product Manager,"Tableau, JavaScript, AWS",Galle,5.5,Bachelor's Degree,157000
Data Scientist,SQL,Galle,1.1,Master's Degree,131000
Software Engineer,"Excel, Git",Galle,4.3,Diploma,98000
Business Analyst,"Kubernetes, Azure, Python",Galle,6.3,Bachelor's Degree,112000
DevOps Engineer,Kubernetes,Jaffna,0.0,Bachelor's Degree,94000
Product Manager,"Machine Learning, AWS",Colombo,5.6,Master's Degree,210000
DevOps Engineer,Python,Colombo,2.0,Master's Degree,153000
Business Analyst,"JavaScript, Excel",Jaffna,5.7,Bachelor's Degree,98000
Data Scientist,"Linux, React, Machine Learning, Python, Tableau",Kandy,1.7,Master's Degree,164000
QA Engineer,"Machine Learning, Excel",Galle,0.0,Diploma,65000
QA Engineer,SQL,Remote,0.0,Bachelor's Degree,80000
Fullstack Developer,"Python, Kubernetes, TensorFlow, Excel",Kandy,4.1,Bachelor's Degree,139000
DevOps Engineer,"React, AWS, SQL",Colombo,4.8,Bachelor's Degree,158000
Business Analyst,"React, AWS, Kubernetes, Azure, Excel, Python",Colombo,1.3,Bachelor's Degree,127000
DevOps Engineer,"JavaScript, TensorFlow, Tableau, Azure",Kandy,5.9,Bachelor's Degree,149000
Product Manager,Kubernetes,Galle,0.0,Bachelor's Degree,117000
QA Engineer,"Git, Linux, Azure",Galle,3.8,Bachelor's Degree,90000
DevOps Engineer,Docker,Remote,0.4,Bachelor's Degree,112000
Frontend Developer,Tableau,Jaffna,2.0,Bachelor's Degree,89000
Business Analyst,"Machine Learning, JavaScript",Kandy,4.1,Bachelor's Degree,103000
Software Engineer,"Linux, Excel",Jaffna,1.4,Bachelor's Degree,91000
DevOps Engineer,"JavaScript, Linux",Galle,2.8,Master's Degree,130000
Backend Developer,"Python, Pandas, Excel, Docker, Linux",Remote,7.0,Diploma,140000
Business Analyst,"Azure, React, SQL, AWS",Colombo,2.3,Diploma,109000
Business Analyst,"JavaScript, Python, Azure, AWS, Excel",Galle,6.5,Master's Degree,142000
Business Analyst,"Docker, Pandas",Kandy,0.6,Master's Degree,101000
Backend Developer,Python,Kandy,5.6,Bachelor's Degree,122000
DevOps Engineer,Excel,Remote,8.3,Master's Degree,179000
Data Scientist,"Pandas, TensorFlow, Kubernetes",Remote,0.0,Diploma,113000
Frontend Developer,"SQL, Git, Pandas",Jaffna,1.6,Master's Degree,105000
QA Engineer,"Docker, SQL, Pandas, Azure, Linux, Git",Kandy,5.7,Master's Degree,135000
DevOps Engineer,"React, Pandas, Excel, Git",Kandy,3.4,Bachelor's Degree,134000
Software Engineer,"Linux, Kubernetes, Tableau, Git, Python, SQL",Remote,5.1,Bachelor's Degree,151000
Business Analyst,"Linux, Machine Learning, AWS, SQL, Docker, Excel",Kandy,2.2,Bachelor's Degree,114000
Backend Developer,"TensorFlow, Machine Learning",Galle,4.3,Bachelor's Degree,109000
Frontend Developer,"JavaScript, Pandas",Colombo,3.5,Bachelor's Degree,123000
Data Scientist,"Python, Git, Kubernetes, AWS, Tableau, SQL",Jaffna,7.5,Bachelor's Degree,168000
Fullstack Developer,"Azure, Kubernetes, Machine Learning",Jaffna,4.8,Master's Degree,140000
Business Analyst,"AWS, Machine Learning",Colombo,5.0,Bachelor's Degree,124000
Backend Developer,"Machine Learning, Git, Docker",Kandy,2.8,Master's Degree,131000
DevOps Engineer,"Machine Learning, Azure, Git, Docker, Linux, TensorFlow",Jaffna,2.5,Master's Degree,145000
Fullstack Developer,"SQL, Linux, Kubernetes, Git, Python, Machine Learning",Galle,2.7,Bachelor's Degree,135000
Business Analyst,"Pandas, Azure, Git, Tableau",Remote,5.2,Bachelor's Degree,125000
Frontend Developer,"JavaScript, Machine Learning, Python",Jaffna,2.7,Bachelor's Degree,96000
QA Engineer,"Python, Docker",Colombo,4.9,Bachelor's Degree,110000
Frontend Developer,"TensorFlow, Linux, AWS, JavaScript, Machine Learning, Python",Kandy,10.2,Bachelor's Degree,164000
Frontend Developer,AWS,Colombo,6.6,Bachelor's Degree,139000
Fullstack Developer,"AWS, TensorFlow, React, Machine Learning",Remote,3.0,Bachelor's Degree,139000
Backend Developer,"Docker, SQL, AWS, Python",Galle,7.6,Bachelor's Degree,137000
Frontend Developer,"Excel, React",Remote,2.8,Diploma,97000
Data Scientist,TensorFlow,Galle,0.0,Master's Degree,124000
Fullstack Developer,"JavaScript, Azure, Python, Kubernetes, Excel",Jaffna,1.0,PhD,147000
QA Engineer,"Git, JavaScript, AWS, React, Machine Learning",Jaffna,0.0,Master's Degree,90000
Software Engineer,"Linux, Azure, Tableau, Git, TensorFlow",Remote,2.9,Diploma,119000
QA Engineer,"SQL, JavaScript",Kandy,4.1,Diploma,82000
Fullstack Developer,TensorFlow,Jaffna,9.0,Bachelor's Degree,136000
DevOps Engineer,"React, Docker, Pandas, Machine Learning, Tableau",Jaffna,5.0,Bachelor's Degree,134000
Product Manager,"Excel, React, Azure",Jaffna,3.3,Master's Degree,155000
Software Engineer,"Linux, Git, Azure, Kubernetes, Machine Learning, Pandas",Kandy,6.5,Diploma,136000
Data Scientist,Linux,Colombo,0.0,Master's Degree,152000
Product Manager,"Git, Kubernetes, React",Jaffna,4.7,Master's Degree,165000
QA Engineer,SQL,Galle,6.3,Bachelor's Degree,95000
Fullstack Developer,Kubernetes,Galle,0.0,Master's Degree,114000
Software Engineer,"AWS, React, Docker, Python, Tableau, Excel",Galle,7.4,Bachelor's Degree,148000
QA Engineer,"TensorFlow, Machine Learning, JavaScript, SQL, React, AWS",Galle,5.0,Bachelor's Degree,108000
Fullstack Developer,"TensorFlow, Machine Learning, JavaScript, AWS, Tableau",Jaffna,2.8,Master's Degree,141000
Product Manager,"Excel, Python, Azure",Kandy,5.9,Diploma,151000
Product Manager,"SQL, Tableau, Azure, Linux",Colombo,10.8,Bachelor's Degree,242000
Business Analyst,JavaScript,Colombo,4.5,Bachelor's Degree,121000
Backend Developer,"JavaScript, React, Docker, AWS, Azure, Kubernetes",Colombo,4.7,Master's Degree,187000
Business Analyst,"AWS, Linux, Git",Kandy,2.6,PhD,132000
QA Engineer,"Azure, Docker, Excel, SQL, React",Colombo,1.5,Bachelor's Degree,109000
Fullstack Developer,SQL,Remote,6.5,Master's Degree,168000
Business Analyst,"TensorFlow, JavaScript",Kandy,1.4,Bachelor's Degree,91000
Fullstack Developer,"Python, Excel, Tableau, TensorFlow, Git",Jaffna,4.2,Master's Degree,150000
DevOps Engineer,"Tableau, Python, JavaScript, React, Linux",Galle,2.6,Master's Degree,148000
Frontend Developer,"Git, Kubernetes, Docker, AWS",Galle,5.4,Bachelor's Degree,119000
Frontend Developer,"Azure, Excel, Linux, Kubernetes, Tableau, Machine Learning",Colombo,5.0,Bachelor's Degree,157000
Backend Developer,"TensorFlow, Linux, Excel, React, Pandas",Colombo,7.1,Bachelor's Degree,171000
Backend Developer,"TensorFlow, Docker, React",Galle,2.5,Master's Degree,122000
Frontend Developer,"SQL, Azure",Kandy,3.2,Master's Degree,120000
Fullstack Developer,"Docker, TensorFlow, SQL, Pandas, Python, AWS",Galle,1.1,Bachelor's Degree,125000
Fullstack Developer,"Kubernetes, Pandas, Python, Linux",Remote,2.7,Master's Degree,158000
Backend Developer,"Pandas, JavaScript, TensorFlow, Azure, Tableau, AWS",Galle,5.1,Bachelor's Degree,136000
DevOps Engineer,"Git, Azure, SQL, React, Machine Learning, AWS",Kandy,6.3,Master's Degree,190000
Product Manager,"TensorFlow, Docker",Colombo,1.2,Bachelor's Degree,152000
Business Analyst,"Excel, React, Kubernetes, Docker, Pandas, Git",Remote,6.6,Bachelor's Degree,144000
Data Scientist,"Python, Excel, TensorFlow, Linux",Remote,8.1,Master's Degree,213000
Data Scientist,"Git, JavaScript, Azure, Machine Learning",Jaffna,5.2,Bachelor's Degree,141000
Fullstack Developer,Excel,Kandy,9.6,Diploma,139000
Business Analyst,"Kubernetes, Linux, AWS",Kandy,1.7,Bachelor's Degree,97000
DevOps Engineer,AWS,Galle,0.3,Bachelor's Degree,100000
DevOps Engineer,"TensorFlow, Python, Excel",Jaffna,0.0,Bachelor's Degree,98000
DevOps Engineer,"Tableau, SQL, AWS, Machine Learning, Excel",Remote,8.5,Bachelor's Degree,180000
Fullstack Developer,"Kubernetes, AWS, Git, Python",Colombo,6.0,Bachelor's Degree,173000
Backend Developer,Git,Galle,3.8,Master's Degree,123000
Product Manager,"Python, TensorFlow",Colombo,4.8,Bachelor's Degree,177000
Business Analyst,"Pandas, Docker",Galle,0.6,Diploma,75000
Fullstack Developer,"Linux, React, SQL, Machine Learning, Python",Galle,11.3,Master's Degree,205000
QA Engineer,"Azure, Linux, Git, Docker, Kubernetes, SQL",Galle,4.4,PhD,137000
QA Engineer,"Tableau, JavaScript, SQL",Jaffna,4.3,High School,74000
Business Analyst,"SQL, JavaScript, Pandas, Python, Linux, Azure",Kandy,6.2,Diploma,121000
Software Engineer,"Git, TensorFlow, React, Azure",Remote,5.4,High School,119000
Software Engineer,"Machine Learning, TensorFlow, Python, Tableau, Git, Kubernetes",Jaffna,4.7,Bachelor's Degree,126000
Product Manager,"AWS, Pandas, SQL",Kandy,1.6,Master's Degree,161000
Software Engineer,"Kubernetes, TensorFlow, Machine Learning",Remote,5.4,Bachelor's Degree,133000
DevOps Engineer,"Excel, Machine Learning, Azure, Pandas",Remote,9.6,Diploma,161000
Data Scientist,AWS,Kandy,8.0,Bachelor's Degree,160000
Frontend Developer,"JavaScript, Docker, Pandas, Kubernetes, React",Kandy,8.8,High School,127000
QA Engineer,"Pandas, AWS",Galle,2.5,Bachelor's Degree,81000
Software Engineer,"Machine Learning, Git, Linux, TensorFlow, AWS, SQL",Colombo,1.0,Master's Degree,159000
Data Scientist,"Pandas, Machine Learning, React, TensorFlow, JavaScript, AWS",Galle,3.6,Bachelor's Degree,153000
Software Engineer,Excel,Kandy,4.2,Master's Degree,132000
Frontend Developer,"Tableau, TensorFlow, Docker",Jaffna,7.3,Master's Degree,133000
Data Scientist,Python,Kandy,0.0,Master's Degree,131000
DevOps Engineer,"Docker, AWS, Linux",Galle,8.6,Master's Degree,171000
